virus,location,strain,year,accession_number,collection_date,area
hCoV-19,USA,CA-CZB-2021,2020,EPI_ISL_486273,2020-05-04,NorthAmerica
hCoV-19,Wuhan,WIV04,2019,EPI_ISL_402124,2019-12-30,China
hCoV-19,India,GJ-GBRC99,2020,EPI_ISL_450788,2020-05-06,Asia
hCoV-19,England,NORW-ED3E2,2020,EPI_ISL_472362,2020-06-01,Europe
hCoV-19,Hong Kong,HKU-200723-098,2020,EPI_ISL_497865,2020-04-14,Asia
hCoV-19,Scotland,EDB5128,2020,EPI_ISL_456977,2020-05-17,Europe
hCoV-19,Germany,NW-HHU-42-2,2020,EPI_ISL_425127,2020-03-19,Europe
hCoV-19,USA,MI-UM-2006S000856,2020,EPI_ISL_484713,2020-03-31,NorthAmerica
hCoV-19,England,BRIS-12705D,2020,EPI_ISL_469641,2020-04-23,Europe
hCoV-19,Australia,VIC2012,2020,EPI_ISL_480654,2020-06-01,Oceania
hCoV-19,England,CAMB-1B5018,2020,EPI_ISL_477811,2020-06-21,Europe
hCoV-19,England,QEUH-7A8FF7,2020,EPI_ISL_533042,2020-07-08,Europe
hCoV-19,USA,MN-MDH-1362,2020,EPI_ISL_507951,2020-04-22,NorthAmerica
hCoV-19,England,20226015704,2020,EPI_ISL_528932,2020-05-19,Europe
hCoV-19,England,PRIN-254BD34,2020,EPI_ISL_509443,2020-05-08,Europe
hCoV-19,USA,WA-S395,2020,EPI_ISL_434155,2020-03-30,NorthAmerica
hCoV-19,Australia,VIC5929,2020,EPI_ISL_518708,2020-07-19,Oceania
hCoV-19,England,LIVE-A8037,2020,EPI_ISL_517105,2020-03-26,Europe
hCoV-19,Canada,QC-LSPQ-L00232073,2020,EPI_ISL_535973,2020-03-22,NorthAmerica
hCoV-19,England,QEUH-960B5F,2020,EPI_ISL_532066,2020-08-04,Europe
hCoV-19,USA,WI-UW-746,2020,EPI_ISL_491419,2020-07-02,NorthAmerica
hCoV-19,Scotland,EDB1105,2020,EPI_ISL_433396,2020-04-08,Europe
hCoV-19,Australia,VIC4250,2020,EPI_ISL_519578,2020-07-13,Oceania
hCoV-19,Australia,VIC6416,2020,EPI_ISL_521208,2020-07-23,Oceania
hCoV-19,USA,WI-UW-372,2020,EPI_ISL_480354,2020-05-20,NorthAmerica
hCoV-19,Wales,PHWC-29D37,2020,EPI_ISL_474249,2020-04-02,Europe
hCoV-19,USA,CA-CZB043,2020,EPI_ISL_429048,2020-03-25,NorthAmerica
hCoV-19,Wuhan,HB-WH2-165,2020,EPI_ISL_455375,2020-02-11,Asia
hCoV-19,England,EXET-1361D0,2020,EPI_ISL_457209,2020-04-14,Europe
hCoV-19,USA,FL-Miami-06_UMTL-A3MJ,2020,EPI_ISL_479766,2020-04-09,NorthAmerica
hCoV-19,USA,CA-ALSR-1120,2020,EPI_ISL_494373,2020-04-03,NorthAmerica
hCoV-19,USA,WA-S1759,2020,EPI_ISL_496185,2020-06-01,NorthAmerica
hCoV-19,Canada,BC_07911261,2020,EPI_ISL_477095,2020-04-00,NorthAmerica
hCoV-19,USA,CT-Yale-120,2020,EPI_ISL_431084,2020-04-11,NorthAmerica
hCoV-19,USA,FL-UF-18,2020,EPI_ISL_468722,2020-04-09,NorthAmerica
hCoV-19,Spain,CL-IBV-97006173,2020,EPI_ISL_537320,2020-04-06,Europe
